date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,SoybeanOil_N0,SoybeanOil_N1,SoybeanOil_N2,SoybeanOil_N3,SoybeanOil_N4,SoybeanOil_N5,SoybeanOil_N6
2022-06-21,O,2022-06-20 20:00:00,2022-06-21 14:20:00,2022-06-21 14:14:00,2022-06-21 14:15:00,2,,202207,202212,202301,202303,202305,202307
2022-06-22,O,2022-06-21 20:00:00,2022-06-22 14:20:00,2022-06-22 14:14:00,2022-06-22 14:15:00,1,,202207,202212,202301,202303,202305,202307
2022-06-23,O,2022-06-22 20:00:00,2022-06-23 14:20:00,2022-06-23 14:14:00,2022-06-23 14:15:00,0,,202207,202212,202301,202303,202305,202307
2022-06-24,O,2022-06-23 20:00:00,2022-06-24 14:20:00,2022-06-24 14:14:00,2022-06-24 14:15:00,105,202207,202212,202301,202303,202305,202307,202312
2022-06-27,O,2022-06-26 20:00:00,2022-06-27 14:20:00,2022-06-27 14:14:00,2022-06-27 14:15:00,104,202207,202212,202301,202303,202305,202307,202312
2022-06-28,O,2022-06-27 20:00:00,2022-06-28 14:20:00,2022-06-28 14:14:00,2022-06-28 14:15:00,103,202207,202212,202301,202303,202305,202307,202312
2022-06-29,O,2022-06-28 20:00:00,2022-06-29 14:20:00,2022-06-29 14:14:00,2022-06-29 14:15:00,102,202207,202212,202301,202303,202305,202307,202312
2022-06-30,O,2022-06-29 20:00:00,2022-06-30 14:20:00,2022-06-30 14:14:00,2022-06-30 14:15:00,101,202207,202212,202301,202303,202305,202307,202312
2022-07-01,O,2022-06-30 20:00:00,2022-07-01 14:20:00,2022-07-01 14:14:00,2022-07-01 14:15:00,100,202207,202212,202301,202303,202305,202307,202312
2022-07-04,X,,,,,,,,,,,,
2022-07-05,O,2022-07-04 20:00:00,2022-07-05 14:20:00,2022-07-05 14:14:00,2022-07-05 14:15:00,99,202207,202212,202301,202303,202305,202307,202312
2022-07-06,O,2022-07-05 20:00:00,2022-07-06 14:20:00,2022-07-06 14:14:00,2022-07-06 14:15:00,98,202207,202212,202301,202303,202305,202307,202312
2022-07-07,O,2022-07-06 20:00:00,2022-07-07 14:20:00,2022-07-07 14:14:00,2022-07-07 14:15:00,97,202207,202212,202301,202303,202305,202307,202312
2022-07-08,O,2022-07-07 20:00:00,2022-07-08 14:20:00,2022-07-08 14:14:00,2022-07-08 14:15:00,96,202207,202212,202301,202303,202305,202307,202312
2022-07-11,O,2022-07-10 20:00:00,2022-07-11 14:20:00,2022-07-11 14:14:00,2022-07-11 14:15:00,95,202207,202212,202301,202303,202305,202307,202312
2022-07-12,O,2022-07-11 20:00:00,2022-07-12 14:20:00,2022-07-12 14:14:00,2022-07-12 14:15:00,94,202207,202212,202301,202303,202305,202307,202312
2022-07-13,O,2022-07-12 20:00:00,2022-07-13 14:20:00,2022-07-13 14:14:00,2022-07-13 14:15:00,93,202207,202212,202301,202303,202305,202307,202312
2022-07-14,O,2022-07-13 20:00:00,2022-07-14 14:20:00,2022-07-14 14:14:00,2022-07-14 14:15:00,92,202207,202212,202301,202303,202305,202307,202312
2022-07-15,O,2022-07-14 20:00:00,2022-07-15 14:20:00,2022-07-15 14:14:00,2022-07-15 14:15:00,91,,202212,202301,202303,202305,202307,202312
2022-07-18,O,2022-07-17 20:00:00,2022-07-18 14:20:00,2022-07-18 14:14:00,2022-07-18 14:15:00,90,,202212,202301,202303,202305,202307,202312
2022-07-19,O,2022-07-18 20:00:00,2022-07-19 14:20:00,2022-07-19 14:14:00,2022-07-19 14:15:00,89,,202212,202301,202303,202305,202307,202312
2022-07-20,O,2022-07-19 20:00:00,2022-07-20 14:20:00,2022-07-20 14:14:00,2022-07-20 14:15:00,88,,202212,202301,202303,202305,202307,202312
2022-07-21,O,2022-07-20 20:00:00,2022-07-21 14:20:00,2022-07-21 14:14:00,2022-07-21 14:15:00,87,,202212,202301,202303,202305,202307,202312
2022-07-22,O,2022-07-21 20:00:00,2022-07-22 14:20:00,2022-07-22 14:14:00,2022-07-22 14:15:00,86,,202212,202301,202303,202305,202307,202312
2022-07-25,O,2022-07-24 20:00:00,2022-07-25 14:20:00,2022-07-25 14:14:00,2022-07-25 14:15:00,85,,202212,202301,202303,202305,202307,202312
2022-07-26,O,2022-07-25 20:00:00,2022-07-26 14:20:00,2022-07-26 14:14:00,2022-07-26 14:15:00,84,,202212,202301,202303,202305,202307,202312
2022-07-27,O,2022-07-26 20:00:00,2022-07-27 14:20:00,2022-07-27 14:14:00,2022-07-27 14:15:00,83,,202212,202301,202303,202305,202307,202312
2022-07-28,O,2022-07-27 20:00:00,2022-07-28 14:20:00,2022-07-28 14:14:00,2022-07-28 14:15:00,82,,202212,202301,202303,202305,202307,202312
2022-07-29,O,2022-07-28 20:00:00,2022-07-29 14:20:00,2022-07-29 14:14:00,2022-07-29 14:15:00,81,,202212,202301,202303,202305,202307,202312
2022-08-01,O,2022-07-31 20:00:00,2022-08-01 14:20:00,2022-08-01 14:14:00,2022-08-01 14:15:00,80,,202212,202301,202303,202305,202307,202312
2022-08-02,O,2022-08-01 20:00:00,2022-08-02 14:20:00,2022-08-02 14:14:00,2022-08-02 14:15:00,79,,202212,202301,202303,202305,202307,202312
2022-08-03,O,2022-08-02 20:00:00,2022-08-03 14:20:00,2022-08-03 14:14:00,2022-08-03 14:15:00,78,,202212,202301,202303,202305,202307,202312
2022-08-04,O,2022-08-03 20:00:00,2022-08-04 14:20:00,2022-08-04 14:14:00,2022-08-04 14:15:00,77,,202212,202301,202303,202305,202307,202312
2022-08-05,O,2022-08-04 20:00:00,2022-08-05 14:20:00,2022-08-05 14:14:00,2022-08-05 14:15:00,76,,202212,202301,202303,202305,202307,202312
2022-08-08,O,2022-08-07 20:00:00,2022-08-08 14:20:00,2022-08-08 14:14:00,2022-08-08 14:15:00,75,,202212,202301,202303,202305,202307,202312
2022-08-09,O,2022-08-08 20:00:00,2022-08-09 14:20:00,2022-08-09 14:14:00,2022-08-09 14:15:00,74,,202212,202301,202303,202305,202307,202312
