date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Coffee_N0,Coffee_N1,Coffee_N2,Coffee_N3,Coffee_N4,Coffee_N5,Coffee_N6
2023-02-03,O,2023-02-03 04:15:00,2023-02-03 13:30:00,2023-02-03 12:23:00,2023-02-03 12:25:00,5,,202303,202305,202307,202309,202312,202403
2023-02-06,O,2023-02-06 04:15:00,2023-02-06 13:30:00,2023-02-06 12:23:00,2023-02-06 12:25:00,4,,202303,202305,202307,202309,202312,202403
2023-02-07,O,2023-02-07 04:15:00,2023-02-07 13:30:00,2023-02-07 12:23:00,2023-02-07 12:25:00,3,,202303,202305,202307,202309,202312,202403
2023-02-08,O,2023-02-08 04:15:00,2023-02-08 13:30:00,2023-02-08 12:23:00,2023-02-08 12:25:00,2,,202303,202305,202307,202309,202312,202403
2023-02-09,O,2023-02-09 04:15:00,2023-02-09 13:30:00,2023-02-09 12:23:00,2023-02-09 12:25:00,1,,202303,202305,202307,202309,202312,202403
2023-02-10,O,2023-02-10 04:15:00,2023-02-10 13:30:00,2023-02-10 12:23:00,2023-02-10 12:25:00,0,,202303,202305,202307,202309,202312,202403
2023-02-13,O,2023-02-13 04:15:00,2023-02-13 13:30:00,2023-02-13 12:23:00,2023-02-13 12:25:00,41,202303,202305,202307,202309,202312,202403,202405
2023-02-14,O,2023-02-14 04:15:00,2023-02-14 13:30:00,2023-02-14 12:23:00,2023-02-14 12:25:00,40,202303,202305,202307,202309,202312,202403,202405
2023-02-15,O,2023-02-15 04:15:00,2023-02-15 13:30:00,2023-02-15 12:23:00,2023-02-15 12:25:00,39,202303,202305,202307,202309,202312,202403,202405
2023-02-16,O,2023-02-16 04:15:00,2023-02-16 13:30:00,2023-02-16 12:23:00,2023-02-16 12:25:00,38,202303,202305,202307,202309,202312,202403,202405
2023-02-17,O,2023-02-17 04:15:00,2023-02-17 13:30:00,2023-02-17 12:23:00,2023-02-17 12:25:00,37,202303,202305,202307,202309,202312,202403,202405
2023-02-20,X,,,,,,,,,,,,
